missingPattern,prop,b,AUC_semi,AUC_known
create_missing_at_random_data,0.05,0,0.7179262456,0.7172625576
create_missing_at_random_data,0.05,1,0.7135856056000001,0.7134504816
create_missing_at_random_data,0.05,2,0.7140240408,0.7138248744
create_missing_at_random_data,0.05,3,0.7120359119999999,0.7114537472
create_missing_at_random_data,0.05,4,0.70911338,0.7090838448
create_missing_at_random_data,0.05,5,0.7148851728000001,0.714410108
create_missing_at_random_data,0.05,6,0.7120935399999999,0.7118846312
create_missing_at_random_data,0.05,7,0.7166644136,0.7164156464
create_missing_at_random_data,0.05,8,0.7100025799999999,0.70920464
create_missing_at_random_data,0.05,9,0.7138793144000001,0.7137549839999999
create_missing_class_one_data,0.05,0,0.7146189144,0.7143568088
create_missing_class_one_data,0.05,1,0.7139930535999999,0.7138601888
create_missing_class_one_data,0.05,2,0.7174749672,0.7173510416
create_missing_class_one_data,0.05,3,0.7114080679999999,0.7114564032
create_missing_class_one_data,0.05,4,0.7134267432,0.7132310728
create_missing_class_one_data,0.05,5,0.7159140048000001,0.7158388464
create_missing_class_one_data,0.05,6,0.7161402511999999,0.7159659936
create_missing_class_one_data,0.05,7,0.7140253576,0.7137692144000001
create_missing_class_one_data,0.05,8,0.7116250288,0.7116330056
create_missing_class_one_data,0.05,9,0.7092340135999999,0.709016352
create_missing_at_random_data,0.1,0,0.7105610920000001,0.7098550904
create_missing_at_random_data,0.1,1,0.7166506992,0.715650872
create_missing_at_random_data,0.1,2,0.71404846,0.713378004
create_missing_at_random_data,0.1,3,0.7148480096,0.7140155608
create_missing_at_random_data,0.1,4,0.7121518496,0.7114556895999999
create_missing_at_random_data,0.1,5,0.7150846296,0.7142652896
create_missing_at_random_data,0.1,6,0.712244024,0.7114072808
create_missing_at_random_data,0.1,7,0.7160565464,0.7144391816000001
create_missing_at_random_data,0.1,8,0.7142444184,0.7138075856000001
create_missing_at_random_data,0.1,9,0.7139594288,0.7135430455999999
create_missing_class_one_data,0.1,0,0.7109481040000001,0.7103900512
create_missing_class_one_data,0.1,1,0.7124749984,0.711685912
create_missing_class_one_data,0.1,2,0.7138674928,0.7137462615999999
create_missing_class_one_data,0.1,3,0.7104010439999999,0.7100038663999999
create_missing_class_one_data,0.1,4,0.71420682,0.7138451016
create_missing_class_one_data,0.1,5,0.715996464,0.7160105287999999
create_missing_class_one_data,0.1,6,0.7145965728000001,0.7139859576
create_missing_class_one_data,0.1,7,0.7125332432,0.7122952504
create_missing_class_one_data,0.1,8,0.7154575128,0.7149767056
create_missing_class_one_data,0.1,9,0.7129560488,0.7128669128
create_missing_at_random_data,0.15,0,0.7125802144,0.7111091584
create_missing_at_random_data,0.15,1,0.7113996176000001,0.710159788
create_missing_at_random_data,0.15,2,0.7135596743999999,0.7126467152
create_missing_at_random_data,0.15,3,0.7170151664,0.7152243744
create_missing_at_random_data,0.15,4,0.711956128,0.7112014096
create_missing_at_random_data,0.15,5,0.7189632712,0.717969848
create_missing_at_random_data,0.15,6,0.7135702568000001,0.7127187168
create_missing_at_random_data,0.15,7,0.7137432968,0.7125765152
